split,repeat,fold,seed,budget,m,method,stage,uniform_J_alpha,J_synthetic_final,source
6,1,2,23,0.4,48,Facility Location,uniform observed subset,0.006056535391348154,,final structured retention evaluation
6,1,2,23,0.4,48,MRDS,uniform observed subset,0.001596679211609577,0.00010868739746979216,final structured retention evaluation
6,1,2,23,0.4,48,W2-k-medoids,uniform observed subset,0.00543030559684071,,final structured retention evaluation
7,1,3,23,0.4,48,Facility Location,uniform observed subset,0.006950077641836367,,final structured retention evaluation
7,1,3,23,0.4,48,MRDS,uniform observed subset,0.001331078732397171,0.0001939239099510294,final structured retention evaluation
7,1,3,23,0.4,48,W2-k-medoids,uniform observed subset,0.004664683587980339,,final structured retention evaluation
8,2,0,37,0.4,48,Facility Location,uniform observed subset,0.006580211806231678,,final structured retention evaluation
8,2,0,37,0.4,48,MRDS,uniform observed subset,0.0006234036105766114,0.00018305226960474224,final structured retention evaluation
8,2,0,37,0.4,48,W2-k-medoids,uniform observed subset,0.005728136150317397,,final structured retention evaluation
9,2,1,37,0.4,48,Facility Location,uniform observed subset,0.004509434207677882,,final structured retention evaluation
9,2,1,37,0.4,48,MRDS,uniform observed subset,0.0013763068501388863,0.0002166185886623287,final structured retention evaluation
9,2,1,37,0.4,48,W2-k-medoids,uniform observed subset,0.004602373916789261,,final structured retention evaluation
10,2,2,37,0.4,48,Facility Location,uniform observed subset,0.007588234274282561,,final structured retention evaluation
10,2,2,37,0.4,48,MRDS,uniform observed subset,0.0022844264856904492,0.00012029371798321358,final structured retention evaluation
10,2,2,37,0.4,48,W2-k-medoids,uniform observed subset,0.008076220926114484,,final structured retention evaluation
11,2,3,37,0.4,48,Facility Location,uniform observed subset,0.002427804173063872,,final structured retention evaluation
11,2,3,37,0.4,48,MRDS,uniform observed subset,0.001294541557577684,0.00010749438677216811,final structured retention evaluation
11,2,3,37,0.4,48,W2-k-medoids,uniform observed subset,0.002163306885325239,,final structured retention evaluation
12,3,0,53,0.4,48,Facility Location,uniform observed subset,0.005410900828197345,,final structured retention evaluation
12,3,0,53,0.4,48,MRDS,uniform observed subset,0.0011170956917963748,0.00020075616556681545,final structured retention evaluation
12,3,0,53,0.4,48,W2-k-medoids,uniform observed subset,0.004725152553913277,,final structured retention evaluation
13,3,1,53,0.4,48,Facility Location,uniform observed subset,0.005334701629750876,,final structured retention evaluation
13,3,1,53,0.4,48,MRDS,uniform observed subset,0.0009813396544834923,0.00010845419656364331,final structured retention evaluation
13,3,1,53,0.4,48,W2-k-medoids,uniform observed subset,0.004313543179315243,,final structured retention evaluation
14,3,2,53,0.4,48,Facility Location,uniform observed subset,0.004896382133998581,,final structured retention evaluation
14,3,2,53,0.4,48,MRDS,uniform observed subset,0.0016201446818476576,0.00010867841905685715,final structured retention evaluation
14,3,2,53,0.4,48,W2-k-medoids,uniform observed subset,0.005607272646219853,,final structured retention evaluation
15,3,3,53,0.4,48,Facility Location,uniform observed subset,0.0031746576220339023,,final structured retention evaluation
15,3,3,53,0.4,48,MRDS,uniform observed subset,0.0011481786633007547,0.0001021984145367906,final structured retention evaluation
15,3,3,53,0.4,48,W2-k-medoids,uniform observed subset,0.0032300779717527152,,final structured retention evaluation
16,4,0,71,0.4,48,Facility Location,uniform observed subset,0.005196305322973748,,final structured retention evaluation
16,4,0,71,0.4,48,MRDS,uniform observed subset,0.0015925880215310767,0.00011376112042499812,final structured retention evaluation
16,4,0,71,0.4,48,W2-k-medoids,uniform observed subset,0.0051654010055661925,,final structured retention evaluation
17,4,1,71,0.4,48,Facility Location,uniform observed subset,0.0030695967616800293,,final structured retention evaluation
17,4,1,71,0.4,48,MRDS,uniform observed subset,0.0011662500957402954,9.960051780258631e-05,final structured retention evaluation
17,4,1,71,0.4,48,W2-k-medoids,uniform observed subset,0.002426786924438687,,final structured retention evaluation
18,4,2,71,0.4,48,Facility Location,uniform observed subset,0.003026003829348123,,final structured retention evaluation
18,4,2,71,0.4,48,MRDS,uniform observed subset,0.0009528347364865723,0.0001036409007320276,final structured retention evaluation
18,4,2,71,0.4,48,W2-k-medoids,uniform observed subset,0.002799432989638638,,final structured retention evaluation
19,4,3,71,0.4,48,Facility Location,uniform observed subset,0.008057570222621591,,final structured retention evaluation
19,4,3,71,0.4,48,MRDS,uniform observed subset,0.0013128293336596181,0.0002120944340886841,final structured retention evaluation
19,4,3,71,0.4,48,W2-k-medoids,uniform observed subset,0.005065715383822524,,final structured retention evaluation
0,0,0,11,0.5,60,Facility Location,uniform observed subset,0.003173342193930464,,final structured retention evaluation
0,0,0,11,0.5,60,MRDS,uniform observed subset,0.0009756915246991519,0.0001944332789640425,final structured retention evaluation
0,0,0,11,0.5,60,W2-k-medoids,uniform observed subset,0.0034021277115851766,,final structured retention evaluation
1,0,1,11,0.5,60,Facility Location,uniform observed subset,0.003464409585542605,,final structured retention evaluation
1,0,1,11,0.5,60,MRDS,uniform observed subset,0.0008065156392981161,5.88073132594327e-05,final structured retention evaluation
1,0,1,11,0.5,60,W2-k-medoids,uniform observed subset,0.003106671017595549,,final structured retention evaluation
2,0,2,11,0.5,60,Facility Location,uniform observed subset,0.0025347591998898093,,final structured retention evaluation
2,0,2,11,0.5,60,MRDS,uniform observed subset,0.0007156404316805086,0.0001002042830586254,final structured retention evaluation
2,0,2,11,0.5,60,W2-k-medoids,uniform observed subset,0.0025803566232922605,,final structured retention evaluation
3,0,3,11,0.5,60,Facility Location,uniform observed subset,0.0063403474430450395,,final structured retention evaluation
3,0,3,11,0.5,60,MRDS,uniform observed subset,0.0005527211758578667,2.4887204597803214e-07,final structured retention evaluation
3,0,3,11,0.5,60,W2-k-medoids,uniform observed subset,0.005637721353337224,,final structured retention evaluation
4,1,0,23,0.5,60,Facility Location,uniform observed subset,0.002863439091330678,,final structured retention evaluation
4,1,0,23,0.5,60,MRDS,uniform observed subset,0.0007579246020738647,5.538942058254915e-05,final structured retention evaluation
